med_id,generic_name,normalized_name,previous_status,previous_rules,previous_auto,previous_verified_biblio,harvest_status,match_confidence,matched_term,rxnorm_name,rxnorm_score,setid,spl_version,published_date,label_title,source_url,renal_section_titles,renal_text,rule_type,query_trace,error,v2_decision,v2_reason
MED-0006,ACECLOFENACO,ACECLOFENACO,NO_RENAL_CONTENT,0,0,0,HIGH_MATCH_RENAL_EVIDENCE,HIGH,ACECLOFENACO,aceclofenac,100.0,8a023942-01e8-4849-aa3c-1a640ffc7fd3,7,"Nov 03, 2011","CLANZA CR (ACECLOFENAC) TABLET, FILM COATED [UNITED DOUGLAS PHARM., INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8a023942-01e8-4849-aa3c-1a640ffc7fd3,Targeted renal text from SPL,"ATIONS Patients with allergy to these drugs or other analogues (diclofenac). Patients with asthma. Like NSAIDS, acetylsalicylic acid and other drugs which inhibit prostagladin-synthesis may precipitate attacks of asthma, acute rhinitis or urticaria. Patients with active peptic ulcer. CAUTIONS Patients with symptoms indicative of gastro-intestinal disorders, with a history of gastroulceration. Patients with severe hepatic impairment or cardiac or renal impairment. Patients under the medication of diuretics. Patients in recovery after surgical treatment. ADVERSE REACTIONS The majority of side effects observed have been reversible and of a minor nature and include gastro-intestinal disorders (dyspepsia, abdominal pain, nausea), rash, ruber, urticaria, symptoms of enuresis, headache, dizziness, and drowsiness. To report suspected adverse reactions, call 1-800-FDA-1088. GENERAL PRECAUTIONS Patients suffering from dizziness, vertigo, or other central nervous system disorders while taking NSAIDS should refrain from driving or handling dangerous machinery. DRUG INTERACTIONS There has been no drug interactions reported, but close monitoring of patients on combination with lithium and digoxin, oral antidiabetic agents, anticoagulants, diuretics, and other analgesics. USE IN PREGNANCY AND NURSING MOTHERS Since there is no information on the safe use of CLANZA CR during pregnancy and lactation, the use of CLANZA CR should therefore be avoided in pregnancy and lactation. USE IN CHILDREN The dosage and indication is not established yet for children with ",PRECAUCION,,,REJECT,FALLBACK_SNIPPET_NOT_RENAL_DOSING_SECTION
MED-0007,ACETATO DE CIPROTERONA,ACETATO DE CIPROTERONA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE CIPROTERONA,Acetato de sodio,16.317249552408853,6ec9e61c-2c26-402f-8604-f446b2e34058,12,"Jul 24, 2026","PLASMA-LYTE A (SODIUM CHLORIDE, SODIUM GLUCONATE, SODIUM ACETATE, POTASSIUM CHLORIDE AND MAGNESIUM CHLORIDE) INJECTION, SOLUTION [BAXTER HEALTHCARE CORPORATION]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ec9e61c-2c26-402f-8604-f446b2e34058,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0008,ACETATO DE CLORMADINONA,ACETATO DE CLORMADINONA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE CLORMADINONA,Acetato de sodio,16.317249552408853,6ec9e61c-2c26-402f-8604-f446b2e34058,12,"Jul 24, 2026","PLASMA-LYTE A (SODIUM CHLORIDE, SODIUM GLUCONATE, SODIUM ACETATE, POTASSIUM CHLORIDE AND MAGNESIUM CHLORIDE) INJECTION, SOLUTION [BAXTER HEALTHCARE CORPORATION]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ec9e61c-2c26-402f-8604-f446b2e34058,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0009,ACETATO DE INDACATEROL,ACETATO DE INDACATEROL,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE INDACATEROL,Acetato de sodio,16.317249552408853,6ec9e61c-2c26-402f-8604-f446b2e34058,12,"Jul 24, 2026","PLASMA-LYTE A (SODIUM CHLORIDE, SODIUM GLUCONATE, SODIUM ACETATE, POTASSIUM CHLORIDE AND MAGNESIUM CHLORIDE) INJECTION, SOLUTION [BAXTER HEALTHCARE CORPORATION]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ec9e61c-2c26-402f-8604-f446b2e34058,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0010,ACETATO DE LISINA,ACETATO DE LISINA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE LISINA,Veneno de Abeja Aceite de Vibora,9.752972116221802,a6c4889c-e7a9-44b9-bd9a-70fd6e8c4825,2,"Jan 16, 2025","VENENO DE ABEJA ACEITE DE VIBORA BRAND (METHYL SALICYLATE) OINTMENT [MIRAMAR COSMETICS, INC DBA MIRAMAR LAB]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a6c4889c-e7a9-44b9-bd9a-70fd6e8c4825,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0011,ACETATO DE MEDROXIPROGESTERONA,ACETATO DE MEDROXIPROGESTERONA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATE DE MEDROXIPROGESTERONA,Medroxyprogesterone Acetate,11.735042572021484,a0a92717-c1cb-40eb-a95a-1c5dfd32cfc0,3,"Sep 07, 2026","MEDROXYPROGESTERONE ACETATE INJECTION, SUSPENSION [REMEDYREPACK INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a0a92717-c1cb-40eb-a95a-1c5dfd32cfc0,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0012,ACETATO DE NOMEGESTROL,ACETATO DE NOMEGESTROL,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATO DE NOMEGESTROL,Acetato de sodio,16.317249552408853,6ec9e61c-2c26-402f-8604-f446b2e34058,12,"Jul 24, 2026","PLASMA-LYTE A (SODIUM CHLORIDE, SODIUM GLUCONATE, SODIUM ACETATE, POTASSIUM CHLORIDE AND MAGNESIUM CHLORIDE) INJECTION, SOLUTION [BAXTER HEALTHCARE CORPORATION]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ec9e61c-2c26-402f-8604-f446b2e34058,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0013,ACETATO DE ULIPRISTAL,ACETATO DE ULIPRISTAL,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETATE DE ULIPRISTAL,,16.665258407592773,2bf93d23-cddd-4613-9066-5b5fa090404b,7,"Jul 24, 2026","ELLA (ULIPRISTAL ACETATE) TABLET [PMI BRANDED PHARMACEUTICALS, INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2bf93d23-cddd-4613-9066-5b5fa090404b,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
MED-0014,ACETAZOLAMIDA,ACETAZOLAMIDA,NO_RENAL_CONTENT,0,0,0,HIGH_MATCH_RENAL_EVIDENCE,HIGH,ACETAZOLAMIDA,acetazolamide,100.0,e9152bc5-5817-4a6a-9d2a-0dd77074f501,7,"Sep 14, 2026",ACETAZOLAMIDE TABLET [A-S MEDICATION SOLUTIONS],https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e9152bc5-5817-4a6a-9d2a-0dd77074f501,Information for Patients | Geriatric Use,"Information for Patients: Adverse reactions common to all sulfonamide derivatives may occur: anaphylaxis, fever, rash (including erythema multiforme, Stevens-Johnson syndrome, toxic epidermal necrolysis), crystalluria, renal calculus, bone marrow depression, thrombocytopenic purpura, hemolytic anemia, leukopenia, pancytopenia, and agranulocytosis. Caution is advised for early detection of such reactions and the drug should be discontinued and appropriate therapy instituted. In patients with pulmonary obstruction or emphysema where alveolar ventilation may be impaired, acetazolamide, which may precipitate or aggravate acidosis, should be used with caution. Gradual ascent is desirable to try to avoid acute mountain sickness. If rapid ascent is undertaken and acetazolamide tablets are used, it should be noted that such use does not obviate the need for prompt descent if severe forms of high altitude sickness occur, ie, high altitude pulmonary edema (HAPE) or high altitude cerebral edema. Caution is advised for patients receiving concomitant high-dose aspirin and acetazolamide, as anorexia, tachypnea, lethargy, metabolic acidosis, coma, and death have been reported (see WARNINGS ). Both increases and decreases in blood glucose levels have been described in patients treated with acetazolamide. This should be taken into consideration in patients with impaired glucose tolerance or diabetes mellitus. Acetazolamide treatment may cause electrolyte imbalances, including hyponatremia and hypokalemia, as well as metabolic acidosis. Therefore, periodic monitoring of serum electrolytes is recommended. Particular caution is recommended in patients with conditions that are associated with, or predispose a patient to, electrolyte and acid/base imbalances, such as patients with impaired renal function (including elderly patients; see PRECAUTIONS, Geriatric Use ), patients with diabetes mellitus, and patients with impaired alveolar ventilation. Some adverse reactions to acetazolamide, such as drowsiness, fatigue, and myopia, may impair the ability to drive and operate machinery.

Geriatric Use: Metabolic acidosis, which can be severe, may occur in the elderly with reduced renal function. Clinical studies of acetazolamide did not include sufficient numbers of subjects aged 65 and over to determine whether they respond differently from younger subjects. Other reported clinical experience has not identified differences in responses between the elderly and younger patients. In general, dose selection for an elderly patient should be cautious, usually starting at the low end of the dosing range, reflecting the greater frequency of decreased hepatic, renal, or cardiac function, and of concomitant disease or other drug therapy.",PRECAUCION,,,REJECT,NO_DIRECT_RENAL_SECTION_TITLE
MED-0015,ACETILCISTEINA,ACETILCISTEINA,NO_RENAL_CONTENT,0,0,0,AMBIGUOUS_DAILYMED_MATCH,MEDIUM,ACETILCISTEINA,acetylcysteine,100.0,5558a5f5-e821-473b-7d8a-5d33d09f0586,22,"May 25, 2026","ACETYLCYSTEINE SOLUTION [HOSPIRA, INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5558a5f5-e821-473b-7d8a-5d33d09f0586,,,,,,REVIEW,AMBIGUOUS_DAILYMED_MATCH
